Recall,Precision,Model
1.0,0.16822429906542055,E-LightGBM (Proposed)
1.0,0.16981132075471697,E-LightGBM (Proposed)
1.0,0.17142857142857143,E-LightGBM (Proposed)
1.0,0.17307692307692307,E-LightGBM (Proposed)
1.0,0.17475728155339806,E-LightGBM (Proposed)
1.0,0.17647058823529413,E-LightGBM (Proposed)
1.0,0.1782178217821782,E-LightGBM (Proposed)
1.0,0.18,E-LightGBM (Proposed)
1.0,0.18181818181818182,E-LightGBM (Proposed)
1.0,0.1836734693877551,E-LightGBM (Proposed)
1.0,0.18556701030927836,E-LightGBM (Proposed)
1.0,0.1875,E-LightGBM (Proposed)
1.0,0.18947368421052632,E-LightGBM (Proposed)
1.0,0.19148936170212766,E-LightGBM (Proposed)
1.0,0.1935483870967742,E-LightGBM (Proposed)
1.0,0.1956521739130435,E-LightGBM (Proposed)
1.0,0.1978021978021978,E-LightGBM (Proposed)
1.0,0.2,E-LightGBM (Proposed)
1.0,0.20224719101123595,E-LightGBM (Proposed)
1.0,0.20454545454545456,E-LightGBM (Proposed)
1.0,0.20689655172413793,E-LightGBM (Proposed)
1.0,0.20930232558139536,E-LightGBM (Proposed)
1.0,0.21176470588235294,E-LightGBM (Proposed)
1.0,0.21428571428571427,E-LightGBM (Proposed)
1.0,0.21686746987951808,E-LightGBM (Proposed)
1.0,0.21951219512195122,E-LightGBM (Proposed)
1.0,0.2222222222222222,E-LightGBM (Proposed)
1.0,0.225,E-LightGBM (Proposed)
1.0,0.22784810126582278,E-LightGBM (Proposed)
1.0,0.23076923076923078,E-LightGBM (Proposed)
1.0,0.23376623376623376,E-LightGBM (Proposed)
1.0,0.23684210526315788,E-LightGBM (Proposed)
1.0,0.24,E-LightGBM (Proposed)
1.0,0.24324324324324326,E-LightGBM (Proposed)
1.0,0.2465753424657534,E-LightGBM (Proposed)
1.0,0.25,E-LightGBM (Proposed)
1.0,0.2535211267605634,E-LightGBM (Proposed)
1.0,0.2571428571428571,E-LightGBM (Proposed)
1.0,0.2608695652173913,E-LightGBM (Proposed)
1.0,0.2647058823529412,E-LightGBM (Proposed)
1.0,0.26865671641791045,E-LightGBM (Proposed)
1.0,0.2727272727272727,E-LightGBM (Proposed)
1.0,0.27692307692307694,E-LightGBM (Proposed)
1.0,0.28125,E-LightGBM (Proposed)
1.0,0.2903225806451613,E-LightGBM (Proposed)
1.0,0.29508196721311475,E-LightGBM (Proposed)
1.0,0.3,E-LightGBM (Proposed)
1.0,0.3050847457627119,E-LightGBM (Proposed)
1.0,0.3103448275862069,E-LightGBM (Proposed)
1.0,0.3157894736842105,E-LightGBM (Proposed)
1.0,0.32142857142857145,E-LightGBM (Proposed)
1.0,0.32727272727272727,E-LightGBM (Proposed)
1.0,0.3333333333333333,E-LightGBM (Proposed)
1.0,0.33962264150943394,E-LightGBM (Proposed)
1.0,0.34615384615384615,E-LightGBM (Proposed)
1.0,0.35294117647058826,E-LightGBM (Proposed)
1.0,0.36,E-LightGBM (Proposed)
1.0,0.3673469387755102,E-LightGBM (Proposed)
1.0,0.3829787234042553,E-LightGBM (Proposed)
1.0,0.391304347826087,E-LightGBM (Proposed)
1.0,0.4,E-LightGBM (Proposed)
1.0,0.4090909090909091,E-LightGBM (Proposed)
1.0,0.4186046511627907,E-LightGBM (Proposed)
1.0,0.42857142857142855,E-LightGBM (Proposed)
1.0,0.43902439024390244,E-LightGBM (Proposed)
1.0,0.45,E-LightGBM (Proposed)
1.0,0.46153846153846156,E-LightGBM (Proposed)
1.0,0.47368421052631576,E-LightGBM (Proposed)
1.0,0.4864864864864865,E-LightGBM (Proposed)
1.0,0.5,E-LightGBM (Proposed)
1.0,0.5142857142857142,E-LightGBM (Proposed)
1.0,0.5294117647058824,E-LightGBM (Proposed)
1.0,0.5454545454545454,E-LightGBM (Proposed)
1.0,0.5625,E-LightGBM (Proposed)
1.0,0.5806451612903226,E-LightGBM (Proposed)
1.0,0.6,E-LightGBM (Proposed)
1.0,0.6206896551724138,E-LightGBM (Proposed)
0.9444444444444444,0.6071428571428571,E-LightGBM (Proposed)
0.9444444444444444,0.6296296296296297,E-LightGBM (Proposed)
0.9444444444444444,0.6538461538461539,E-LightGBM (Proposed)
0.9444444444444444,0.68,E-LightGBM (Proposed)
0.9444444444444444,0.7083333333333334,E-LightGBM (Proposed)
0.9444444444444444,0.85,E-LightGBM (Proposed)
0.9444444444444444,0.8947368421052632,E-LightGBM (Proposed)
0.9444444444444444,0.9444444444444444,E-LightGBM (Proposed)
0.9444444444444444,1.0,E-LightGBM (Proposed)
0.8888888888888888,1.0,E-LightGBM (Proposed)
0.8333333333333334,1.0,E-LightGBM (Proposed)
0.7777777777777778,1.0,E-LightGBM (Proposed)
0.7222222222222222,1.0,E-LightGBM (Proposed)
0.6666666666666666,1.0,E-LightGBM (Proposed)
0.6111111111111112,1.0,E-LightGBM (Proposed)
0.5555555555555556,1.0,E-LightGBM (Proposed)
0.5,1.0,E-LightGBM (Proposed)
0.4444444444444444,1.0,E-LightGBM (Proposed)
0.3888888888888889,1.0,E-LightGBM (Proposed)
0.3333333333333333,1.0,E-LightGBM (Proposed)
0.2777777777777778,1.0,E-LightGBM (Proposed)
0.2222222222222222,1.0,E-LightGBM (Proposed)
0.16666666666666666,1.0,E-LightGBM (Proposed)
0.1111111111111111,1.0,E-LightGBM (Proposed)
0.05555555555555555,1.0,E-LightGBM (Proposed)
0.0,1.0,E-LightGBM (Proposed)
