geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
1,1,1,8.0,1,0.0,93.0,99.0,81.0,43.0,93.0,93.0,77.5,0,0.03399999999999999,0
0,0,1,13.6,4,0.0,83.3,84.6,62.3,75.4,65.5,69.5,68.175,0,0.1592,0
0,1,0,13.0,4,0.0,77.0,79.0,70.0,73.0,73.0,72.0,72.0,0,0.21799999999999997,0
1,1,1,7.0,1,1.0,94.0,97.0,89.0,40.0,54.0,46.0,57.25,0,0.04200000000000004,0
1,1,0,12.0,3,1.0,86.0,89.0,90.0,58.0,78.0,88.0,78.5,0,0.122,0
1,1,1,13.0,4,0.0,88.0,87.0,47.0,94.0,88.0,69.0,74.5,0,0.126,0
1,1,1,12.0,2,0.0,93.0,88.0,56.0,46.0,81.0,66.0,62.25,0,0.09999999999999998,0
1,1,1,6.0,0,0.0,79.1,81.4,66.3,57.4,69.4,68.0,65.275,0,0.19519999999999998,0
0,1,0,9.0,3,0.0,82.0,99.0,73.0,68.0,57.0,81.0,69.75,0,0.07800000000000003,0
0,0,0,14.0,4,0.0,85.0,90.0,68.0,72.0,76.0,70.0,71.5,0,0.12,0
1,1,1,6.0,0,0.0,72.8,99.5,63.5,58.8,53.0,77.3,63.150000000000006,1,0.11180000000000001,0
0,1,0,11.8,3,0.0,82.1,83.5,78.0,76.1,61.2,66.7,70.5,0,0.17060000000000003,0
0,1,1,10.0,3,0.0,85.0,82.0,85.0,66.0,66.0,85.0,75.5,0,0.16800000000000004,0
1,1,0,10.1,1,0.0,80.3,87.5,72.5,70.8,63.9,64.1,67.825,1,0.15380000000000005,0
1,1,0,13.0,4,0.0,95.0,97.0,90.0,45.0,91.0,93.0,79.75,0,0.038000000000000034,0
0,1,1,11.2,3,1.0,92.4,91.5,81.5,75.1,74.4,87.9,79.725,0,0.08139999999999996,0
1,1,1,13.0,4,0.0,87.0,99.0,79.0,58.0,67.0,62.0,66.5,0,0.05800000000000001,0
0,1,1,13.6,3,0.0,76.6,71.6,70.4,69.3,61.9,71.7,68.325,0,0.26400000000000007,0
1,1,1,6.0,0,0.0,75.0,79.0,66.0,66.0,71.0,65.0,67.0,0,0.22599999999999998,0
0,0,1,12.2,3,0.0,78.1,75.9,68.2,57.5,73.1,66.6,66.35,0,0.23220000000000002,0
1,1,1,13.0,4,0.0,93.0,95.0,54.0,42.0,67.0,75.0,59.5,0,0.05800000000000001,0
1,1,0,9.9,0,0.0,84.6,82.6,64.7,53.0,67.2,58.2,60.775000000000006,0,0.16600000000000004,0
1,1,1,13.0,4,0.0,89.0,88.0,57.0,86.0,62.0,72.0,69.25,0,0.11599999999999999,0
0,1,0,11.0,3,1.0,75.0,79.0,64.0,51.0,69.0,59.0,60.75,0,0.22599999999999998,0
0,1,1,9.0,0,0.0,85.0,91.0,74.0,75.0,66.0,70.0,71.25,0,0.11399999999999999,0
1,1,0,13.0,4,0.0,91.0,89.0,84.0,55.0,86.0,87.0,78.0,0,0.10199999999999998,0
1,1,0,13.0,4,0.0,89.0,98.0,58.0,54.0,62.0,56.0,57.5,0,0.05600000000000001,0
1,1,0,9.0,1,2.0,20.0,37.0,43.0,30.0,32.0,36.0,35.25,0,0.6980000000000001,1
0,1,1,13.1,4,0.0,64.5,66.7,60.1,64.6,73.3,71.2,67.3,1,0.3418,0
